Date,ID_yyyymmdd,Week,Count_Net,Count_1m_L,Count_5m_L
5/4/2023,20230504,1,0,0,0
5/9/2023,20230509,2,0,0,0
5/15/2023,20230515,3,2,0,200
5/23/2023,20230523,4,0,200,0
6/6/2023,20230606,6,1,500,800
6/8/2023,20230608,6,7,0,0
6/12/2023,20230612,7,2,NA,NA
6/13/2023,20230613,7,8,100,1400
6/15/2023,20230615,7,1,NA,NA
6/20/2023,20230620,8,0,800,600
6/26/2023,20230626,9,2,300,1400
6/29/2023,20230629,9,7,NA,NA
6/30/2023,20230630,9,30,NA,NA
7/5/2023,20230705,10,2,1400,800
7/11/2023,20230711,11,0,200,400
7/18/2023,20230718,12,0,200,1100
7/25/2023,20230725,13,0,0,200
8/1/2023,20230801,14,0,0,0
8/8/2023,20230808,15,0,0,0
8/15/2023,20230815,16,3,0,0
8/22/2023,20230822,17,0,0,0
8/29/2023,20230829,18,0,0,500
9/6/2023,20230906,19,0,500,1000
9/19/2023,20230919,21,0,500,0
9/28/2023,20230928,22,0,0,0
