Date,Quantity_Mean,Month,Week,Count_L,Depth,,
5/4/2023,25766.228,May,1,0,1m,,
5/9/2023,8452.267,May,2,0,1m,,
5/15/2023,44168.512,May,3,0,1m,,
5/23/2023,4499.9,May,4,200,1m,,
6/6/2023,1383425.547,Jun,6,500,1m,,
6/13/2023,167362.08,Jun,7,100,1m,,
6/20/2023,146022.15,Jun,8,800,1m,,
6/26/2023,209678.23,Jun,9,300,1m,,
7/5/2023,306059.655,Jul,10,1400,1m,,
7/11/2023,66228.052,Jul,11,200,1m,,
7/18/2023,25766.228,Jul,12,200,1m,,
7/25/2023,6332.065,Jul,13,0,1m,,
8/1/2023,47960.223,Aug,14,0,1m,,
8/8/2023,6041.358,Aug,15,0,1m,,
8/15/2023,18188.05,Aug,16,0,1m,,
8/22/2023,1905.085,Aug,17,0,1m,,
8/29/2023,3368.26,Aug,18,0,1m,,
9/6/2023,19368.842,Sep,19,500,1m,,
9/19/2023,151085.132,Sep,21,500,1m,,
9/28/2023,4303.07,Sep,22,0,1m,,
5/4/2023,40646.342,May,1,0,5m,,
5/9/2023,8452.267,May,2,0,5m,,
5/15/2023,44168.512,May,3,200,5m,,
5/23/2023,4499.9,May,4,0,5m,,
6/6/2023,1383425.547,Jun,6,800,5m,,
6/13/2023,167362.08,Jun,7,1400,5m,,
6/20/2023,146022.15,Jun,8,600,5m,,
6/26/2023,209678.23,Jun,9,1400,5m,,
7/5/2023,306059.655,Jul,10,800,5m,,
7/11/2023,66228.052,Jul,11,400,5m,,
7/18/2023,25766.228,Jul,12,1100,5m,,
7/25/2023,6332.065,Jul,13,200,5m,,
8/1/2023,47960.223,Aug,14,0,5m,,
8/8/2023,6041.358,Aug,15,0,5m,,
8/15/2023,18188.05,Aug,16,0,5m,,
8/22/2023,1905.085,Aug,17,0,5m,,
8/29/2023,3368.26,Aug,18,500,5m,,
9/6/2023,19368.842,Sep,19,1000,5m,,
9/19/2023,151085.132,Sep,21,0,5m,,
9/28/2023,4303.07,Sep,22,0,5m,,
