"","Date","Copies_L_Corrected"
"1",2023-09-28,2689418.75
"2",2023-05-15,27605319.7933333
"3",2023-05-23,5296671.875
"4",2023-05-04,25403963.5433333
"5",2023-05-09,5282666.66666667
"6",2023-06-13,104601300.01
"7",2023-06-20,91263843.7666667
"8",2023-06-26,131048893.766667
"9",2023-06-06,864640966.766667
"10",2023-07-11,41392532.2933333
"11",2023-07-18,16103892.71
"12",2023-07-25,3957540.625
"13",2023-07-05,191287284.4
"14",2023-08-01,29975139.5833333
"15",2023-08-15,11367531.25
"16",2023-08-22,1190678.125
"17",2023-08-29,2105162.5
"18",2023-08-08,3775848.95833333
"19",2023-09-19,94428207.2866667
"20",2023-09-06,12105526.045
