Date,Copies_L,Month,Week,Count_L,Depth
5/4/2023,25403963.54,May,1,0,1m
5/9/2023,5282666.667,May,2,0,1m
5/15/2023,27605319.79,May,3,0,1m
5/23/2023,5296671.875,May,4,200,1m
6/6/2023,864640966.8,Jun,6,500,1m
6/13/2023,104601300,Jun,7,100,1m
6/20/2023,91263843.77,Jun,8,800,1m
6/26/2023,131048893.8,Jun,9,300,1m
7/5/2023,191287284.4,Jul,10,1400,1m
7/11/2023,41392532.29,Jul,11,200,1m
7/18/2023,16103892.71,Jul,12,200,1m
7/25/2023,3957540.625,Jul,13,0,1m
8/1/2023,29975139.58,Aug,14,0,1m
8/8/2023,3775848.958,Aug,15,0,1m
8/15/2023,11367531.25,Aug,16,0,1m
8/22/2023,1190678.125,Aug,17,0,1m
8/29/2023,2105162.5,Aug,18,0,1m
9/6/2023,12105526.05,Sep,19,500,1m
9/19/2023,94428207.29,Sep,21,500,1m
9/28/2023,2689418.75,Sep,22,0,1m
5/4/2023,25403963.54,May,1,0,5m
5/9/2023,5282666.667,May,2,0,5m
5/15/2023,27605319.79,May,3,200,5m
5/23/2023,5296671.875,May,4,0,5m
6/6/2023,864640966.8,Jun,6,800,5m
6/13/2023,104601300,Jun,7,1400,5m
6/20/2023,91263843.77,Jun,8,600,5m
6/26/2023,131048893.8,Jun,9,1400,5m
7/5/2023,191287284.4,Jul,10,800,5m
7/11/2023,41392532.29,Jul,11,400,5m
7/18/2023,16103892.71,Jul,12,1100,5m
7/25/2023,3957540.625,Jul,13,200,5m
8/1/2023,29975139.58,Aug,14,0,5m
8/8/2023,3775848.958,Aug,15,0,5m
8/15/2023,11367531.25,Aug,16,0,5m
8/22/2023,1190678.125,Aug,17,0,5m
8/29/2023,2105162.5,Aug,18,500,5m
9/6/2023,12105526.05,Sep,19,1000,5m
9/19/2023,94428207.29,Sep,21,0,5m
9/28/2023,2689418.75,Sep,22,0,5m
