Date,ID_yyyymmdd,Week,Tox_ug_100g,Method
5/4/2023,20230504,1,42.38299,ELISA
5/9/2023,20230509,2,39.00109,ELISA
5/15/2023,20230515,3,37.98694,ELISA
5/15/2023,20230515,3,34,DEC
5/22/2023,20230522,4,34,DEC
5/23/2023,20230523,4,38.02238,ELISA
5/30/2023,20230530,5,34,DEC
6/6/2023,20230606,6,104.45,ELISA
6/6/2023,20230606,6,90,DEC
6/8/2023,20230608,6,212.8243,ELISA
6/13/2023,20230613,7,248.2355,ELISA
6/15/2023,20230615,7,205,DEC
6/20/2023,20230620,8,172.5503,ELISA
6/20/2023,20230620,8,70,DEC
6/24/2023,20230624,8,121,DEC
6/26/2023,20230626,9,104.3888,ELISA
7/5/2023,20230705,10,97.36943,ELISA
7/7/2023,20230707,10,36,DEC
7/11/2023,20230711,11,74.48922,ELISA
7/11/2023,20230711,11,34,DEC
7/15/2023,20230715,11,34,DEC
7/18/2023,20230718,12,95.34584,ELISA
7/24/2023,20230724,13,34,DEC
7/25/2023,20230725,13,54.5812367,ELISA
7/31/2023,20230731,14,34,DEC
8/1/2023,20230801,14,27.07762415,ELISA
8/7/2023,20230807,15,34,DEC
8/8/2023,20230808,15,26.89987385,ELISA
8/14/2023,20230814,16,34,DEC
8/15/2023,20230815,16,26.0635486,ELISA
8/21/2023,20230821,17,34,DEC
8/22/2023,20230822,17,18.98870427,ELISA
8/28/2023,20230828,18,34,DEC
8/29/2023,20230829,18,43.23301915,ELISA
9/6/2023,20230906,19,62.9593919,ELISA
9/11/2023,20230911,20,34,DEC
9/19/2023,20230919,21,41.2628125,ELISA
9/25/2023,20230925,22,153,DEC
9/28/2023,20230928,22,38,DEC
9/28/2023,20230928,22,42.36173857,ELISA
