Pair,Tox_ug_100g,Method,Count_1m_L,Count_5m_L,Count_Net,qPCR_qmeandaily
1,42.38299,ELISA,0,0,0,8129.268
1,34,MBA,0,0,0,8129.268
2,39.00109,ELISA,0,0,0,1690.453
2,34,MBA,0,0,0,1690.453
3,37.98694,ELISA,0,200,2,8833.702
3,34,MBA,0,200,2,8833.702
4,38.02238,ELISA,200,0,0,899.98
4,34,MBA,200,0,0,899.98
5,104.44997,ELISA,500,800,1,276685.109
5,90,MBA,500,800,1,276685.109
6,212.82431,ELISA,0,0,7,NA
6,90,MBA,0,0,7,NA
7,248.23553,ELISA,100,1400,8,33472.416
7,205,MBA,100,1400,8,33472.416
8,172.55028,ELISA,800,600,0,29204.43
8,70,MBA,800,600,0,29204.43
9,104.3888,ELISA,300,1400,2,41935.646
9,121,MBA,300,1400,2,41935.646
10,97.36943,ELISA,1400,800,2,61211.931
10,36,MBA,1400,800,2,61211.931
11,74.48922,ELISA,200,400,0,13245.61
11,34,MBA,200,400,0,13245.61
12,95.34584,ELISA,200,1100,0,5153.246
12,34,MBA,200,1100,0,5153.246
13,54.58124,ELISA,0,200,0,1266.413
13,34,MBA,0,200,0,1266.413
14,27.07762415,ELISA,0,0,0,9592.045
14,34,MBA,0,0,0,9592.045
15,26.89987385,ELISA,0,0,0,1208.272
15,34,MBA,0,0,0,1208.272
16,26.0635486,ELISA,0,0,3,3637.61
16,34,MBA,0,0,3,3637.61
17,18.98870427,ELISA,0,0,0,381.017
17,34,MBA,0,0,0,381.017
18,43.23301915,ELISA,0,0,0,673.652
18,34,MBA,0,0,0,673.652
19,62.9593919,ELISA,0,500,0,3873.768
19,46,MBA,0,500,0,3873.768
20,41.2628125,ELISA,500,1000,0,30217.026
20,153,MBA,500,1000,0,30217.026
21,42.36173857,ELISA,500,0,0,860.614
21,38,MBA,500,0,0,860.614
