Pair,Tox_ug_100g,Method,Count_1m_L,Count_5m_L,Count_Net,qPCR_qmeandaily
1,37.98694,ELISA,0,200,2,55210639.58
1,34,MBA,0,200,2,55210639.58
2,38.02238,ELISA,200,0,0,5624875
2,34,MBA,200,0,0,5624875
3,104.44997,ELISA,500,800,1,1729281934
3,90,MBA,500,800,1,1729281934
4,248.23553,ELISA,100,1400,8,209202600
4,205,MBA,100,1400,8,209202600
5,172.55028,ELISA,800,600,0,182527687.5
5,70,MBA,800,600,0,182527687.5
6,104.3888,ELISA,300,1400,2,262097787.5
6,121,MBA,300,1400,2,262097787.5
7,97.36943,ELISA,1400,800,2,382574568.8
7,36,MBA,1400,800,2,382574568.8
8,74.48922,ELISA,200,400,0,82785064.58
8,34,MBA,200,400,0,82785064.58
9,54.58124,ELISA,0,200,0,7915081.25
9,34,MBA,0,200,0,7915081.25
10,27.07762415,ELISA,0,0,0,59950279.17
10,34,MBA,0,0,0,59950279.17
11,26.89987385,ELISA,0,0,0,7551697.917
11,34,MBA,0,0,0,7551697.917
12,26.0635486,ELISA,0,0,3,22735062.5
12,34,MBA,0,0,3,22735062.5
13,18.98870427,ELISA,0,0,0,2381356.25
13,34,MBA,0,0,0,2381356.25
14,43.23301915,ELISA,0,0,0,4210325
14,34,MBA,0,0,0,4210325
15,42.36173857,ELISA,500,0,0,5378837.5
15,38,MBA,500,0,0,5378837.5
