Pair,PST_ELISA_ug_100g,Date_ELISA,PST_MBA_ug_100g,Date_MBA
1,37.98694,5/15/2023,34,5/15/2023
2,38.02238,5/23/2023,34,5/22/2023
3,104.45,6/6/2023,90,6/6/2023
4,248.2355,6/13/2023,205,6/15/2023
5,172.5503,6/20/2023,70,6/20/2023
6,104.3888,6/26/2023,121,6/24/2023
7,97.36943,7/5/2023,36,7/7/2023
8,74.48922,7/11/2023,34,7/11/2023
9,54.58124,7/25/2023,34,7/24/2023
10,27.07762,8/1/2023,34,7/31/2023
11,26.89987,8/8/2023,34,8/7/2023
12,26.06355,8/15/2023,34,8/14/2023
13,18.9887,8/22/2023,34,8/21/2023
14,43.23302,8/29/2023,34,8/28/2023
15,42.36174,9/28/2023,38,9/29/2023
