Date,ID_yyyymmdd,Alexandrium_spp,Alexandrium_spp_life_stage_unknown,Dinophysis_spp,Pseudo_nitzschia_spp,Actinoptychus_spp,Asterionellopsis_spp,Asteromphalus_spp,Bacillaria_spp,Ceratium_furca,Ceratium_fusus,Ceratium_longipes,Chaetoceros_spp,Coscinodiscus_spp,Dictyocha_spp,Ditylum_spp,Eucampia_spp,Fragilariopsis_spp,Guinardia_spp,Leptocylindrus_spp,Licmophora_spp,Melosira_spp,Navicula_spp,Noctiluca_scintillans,Odontella_spp,Pleurosigma_spp,Prorocentrum_spp,Protoperidinium_spp,Rhizosolenia_spp,Skeletonema_spp,Stephanopyxis_spp,Striatella_spp,Thalassionema_spp,Thalassiosira_spp,Tintinnid,Zoea_Copepod_Nauplii,Akashiwo_spp,Amylax_spp,Cochlodinium_spp,Fragilidium_spp,Gonyaulax_spp,Gymnodinium_spp,Gyrodinium_spp,Heterocapsa_spp,Oxytoxum_spp,Peridinium_spp,Protoceratium_spp,Pyrocystis_spp,Pyrodinium_spp,Scrippsiella_spp,Achnanthes_longipes,Bacteriastrum_spp,Bacterosira_spp,Cerataulina_spp,Corethron_spp,Cylindrotheca_spp,Dactyliosolen_spp,Entomoneis_spp,Hemiaulus_spp,Lauderia_spp,Planktoniella_sol,Ciliates,Meringosphaera_spp,Phaeocystis_spp,Raphidophyte
5/4/2023,20230504,0,0,0,2,37,0,0,0,0,0,0,158,0,0,0,0,0,0,8,0,0,1,0,0,1,0,1,0,125,2,0,0,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/9/2023,20230509,0,0,1,2,3,0,0,0,0,0,0,442,0,0,0,0,0,0,1,0,1,4,0,0,0,0,2,0,205,0,0,0,60,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/15/2023,20230515,2,0,0,5,2,0,0,0,0,0,0,416,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,197,0,0,0,34,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/23/2023,20230523,0,0,2,26,1,0,0,0,0,0,0,908,2,0,0,0,0,0,11,0,0,0,6,0,1,0,13,1,2467,1,0,0,16,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
6/6/2023,20230606,1,0,2,0,0,0,0,0,0,1,15,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,67,0,97,0,0,1,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/8/2023,20230608,7,0,0,53,6,0,0,0,0,1,3,31,0,3,0,0,0,0,4,24,0,1,0,0,0,0,14,0,996,0,0,2,8,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/12/2023,20230612,2,0,2,4,0,0,0,0,0,0,1,10,1,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,303,0,0,0,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
6/13/2023,20230613,8,0,0,61,2,0,0,0,0,1,15,32,1,1,0,0,0,0,227,7,0,3,0,0,1,0,32,0,2090,0,1,0,91,26,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
6/15/2023,20230615,1,0,0,1,0,0,0,0,0,0,0,4,0,0,0,1,0,0,45,0,0,0,0,1,0,0,6,0,24,0,0,0,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6/20/2023,20230620,0,0,0,3,0,0,0,0,0,0,0,14,0,0,0,0,0,4,68,0,0,0,0,0,0,0,4,0,18,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6/26/2023,20230626,2,0,21,10,0,0,0,0,0,2,66,75,0,2,0,0,0,5,50,0,0,1,0,0,0,0,32,0,5,0,0,365,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
6/29/2023,20230629,7,0,4,0,0,0,0,0,0,0,23,14,1,0,0,0,0,0,0,0,0,9,0,0,0,0,65,0,1376,0,0,79,22,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6/30/2023,20230630,30,0,4,0,0,0,0,0,0,6,36,16,0,0,0,0,0,0,0,0,0,4,0,1,0,0,104,0,2066,0,0,52,49,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/5/2023,20230705,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,15,0,0,19,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/11/2023,20230711,0,0,2,38,0,0,0,0,0,9,19,110,3,0,2,0,0,0,16,0,0,5,0,0,0,0,9,0,562,0,0,452,22,21,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
7/18/2023,20230718,0,0,5,188,0,0,0,0,0,1,28,332,2,4,0,0,0,16,127,0,0,6,0,0,0,0,19,0,1042,0,0,227,13,10,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18,0,10,0,0,0,0,0,0,0,0,0
7/25/2023,20230725,0,0,5,4,0,0,0,0,0,2,22,167,1,1,0,0,2,0,6,0,0,0,0,0,0,0,11,0,40,0,0,56,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
