Well,Well Position,Sample Name,Target,Cq,SQ
1,A1,200000,A.catenella,24.775,200000
2,A2,200000,A.catenella,24.626,200000
3,A3,200000,A.catenella,24.292,200000
4,A4,200000,A.catenella,24.376,200000
5,A5,200000,A.catenella,24.344,200000
6,A6,200000,A.catenella,24.332,200000
7,A7,200000,A.catenella,24.292,200000
8,A8,200000,A.catenella,24.359,200000
9,A9,200000,A.catenella,24.181,200000
10,A10,200000,A.catenella,24.268,200000
11,A11,200000,A.catenella,24.4,200000
13,B1,20000,A.catenella,27.788,20000
14,B2,20000,A.catenella,27.44,20000
15,B3,20000,A.catenella,27.598,20000
16,B4,20000,A.catenella,27.729,20000
17,B5,20000,A.catenella,27.429,20000
18,B6,20000,A.catenella,27.507,20000
19,B7,20000,A.catenella,27.47,20000
20,B8,20000,A.catenella,27.512,20000
21,B9,20000,A.catenella,27.463,20000
22,B10,20000,A.catenella,27.362,20000
23,B11,20000,A.catenella,27.79,20000
24,B12,20000,A.catenella,27.994,20000
25,C1,2000,A.catenella,31.136,2000
26,C2,2000,A.catenella,30.721,2000
27,C3,2000,A.catenella,30.863,2000
28,C4,2000,A.catenella,30.652,2000
29,C5,2000,A.catenella,30.804,2000
30,C6,2000,A.catenella,30.768,2000
31,C7,2000,A.catenella,30.884,2000
32,C8,2000,A.catenella,30.695,2000
33,C9,2000,A.catenella,31.174,2000
34,C10,2000,A.catenella,30.901,2000
35,C11,2000,A.catenella,31,2000
36,C12,2000,A.catenella,31.173,2000
37,D1,200,A.catenella,33.893,200
38,D2,200,A.catenella,34.448,200
39,D3,200,A.catenella,34.01,200
40,D4,200,A.catenella,33.976,200
41,D5,200,A.catenella,33.899,200
42,D6,200,A.catenella,35.399,200
43,D7,200,A.catenella,34.038,200
44,D8,200,A.catenella,34.355,200
45,D9,200,A.catenella,34.175,200
46,D10,200,A.catenella,35.562,200
47,D11,200,A.catenella,33.926,200
48,D12,200,A.catenella,35.255,200
49,E1,20,A.catenella,Undetermined,20
50,E2,20,A.catenella,Undetermined,20
51,E3,20,A.catenella,Undetermined,20
52,E4,20,A.catenella,38.203,20
53,E5,20,A.catenella,Undetermined,20
54,E6,20,A.catenella,Undetermined,20
55,E7,20,A.catenella,Undetermined,20
56,E8,20,A.catenella,Undetermined,20
57,E9,20,A.catenella,Undetermined,20
58,E10,20,A.catenella,37.888,20
59,E11,20,A.catenella,Undetermined,20
60,E12,20,A.catenella,Undetermined,20
61,F1,2,A.catenella,Undetermined,2
62,F2,2,A.catenella,Undetermined,2
63,F3,2,A.catenella,Undetermined,2
64,F4,2,A.catenella,Undetermined,2
65,F5,2,A.catenella,Undetermined,2
66,F6,2,A.catenella,Undetermined,2
67,F7,2,A.catenella,Undetermined,2
68,F8,2,A.catenella,Undetermined,2
69,F9,2,A.catenella,38.053,2
70,F10,2,A.catenella,Undetermined,2
71,F11,2,A.catenella,38.416,2
72,F12,2,A.catenella,Undetermined,2
73,G1,0.2,A.catenella,Undetermined,0.2
74,G2,0.2,A.catenella,Undetermined,0.2
75,G3,0.2,A.catenella,Undetermined,0.2
76,G4,0.2,A.catenella,Undetermined,0.2
77,G5,0.2,A.catenella,Undetermined,0.2
78,G6,0.2,A.catenella,Undetermined,0.2
79,G7,0.2,A.catenella,Undetermined,0.2
80,G8,0.2,A.catenella,Undetermined,0.2
81,G9,0.2,A.catenella,Undetermined,0.2
82,G10,0.2,A.catenella,Undetermined,0.2
83,G11,0.2,A.catenella,37.951,0.2
84,G12,0.2,A.catenella,Undetermined,0.2
85,H1,NC,A.catenella,Undetermined,
86,H2,NC,A.catenella,Undetermined,
87,H3,NC,A.catenella,Undetermined,
88,H4,NC,A.catenella,Undetermined,
89,H5,NC,A.catenella,Undetermined,
90,H6,NC,A.catenella,Undetermined,
91,H7,NC,A.catenella,Undetermined,
92,H8,NC,A.catenella,Undetermined,
93,H9,NC,A.catenella,Undetermined,
94,H10,NC,A.catenella,Undetermined,
95,H11,NC,A.catenella,Undetermined,
96,H12,NC,A.catenella,Undetermined,
